,회사명,당기_유동자산,당기_비유동자산,당기_유동부채,당기_비유동부채,당기_자본,당기_부채와자본총계,종목명,등락률,class
0,3S,28885012539.0,36242851988.0,24423671313.0,2365204367.0,38338988847.0,65127864527.0,3S,-24.92,1
1,AJ네트웍스,301469589101.0,1151946269415.0,814364855406.0,281612720386.0,NAN,NaN,AJ네트웍스,11.72,3
2,AK홀딩스,1578818308431.0,3425516652963.0,2366670547012.0,1355326234779.0,1282338179603.0,NaN,AK홀딩스,-19.59,1
3,APS홀딩스,97455971979.0,270181626418.0,102125322783.0,52905125899.0,212607149715.0,NaN,APS홀딩스,-8.5,2
4,AP시스템,396470581144.0,151642309779.0,222421189934.0,55492551284.0,270199149705.0,NaN,AP시스템,-22.91,1
5,BGF,422786609370.0,1515227361533.0,71497959445.0,129992592069.0,1736523419389.0,NaN,BGF,-16.67,1
6,BGF리테일,889900434324.0,2056334837302.0,1102246622172.0,881361005679.0,962627643775.0,NaN,BGF리테일,34.59,3
7,BGF에코머티리얼즈,253180273368.0,98963459281.0,117764418740.0,32434241815.0,201945072094.0,352143732649.0,,,2
8,BYC,120182142295.0,548689884106.0,79177003824.0,73957736195.0,515737286382.0,NaN,BYC,-18.94,1
9,CBI,52817397602.0,21550932588.0,30669371980.0,1065436286.0,42633521924.0,NaN,CBI,-65.47,1
10,CJ,15143819806000.0,33066755593000.0,16950325414000.0,13556449405000.0,17733633488000.0,NaN,CJ,-8.17,2
11,CJ CGV,682681904094.0,2918786482394.0,1238638115169.0,1969740930624.0,393089340695.0,NaN,CJ CGV,-29.66,1
12,CJ ENM,3108038802501.0,7224207843082.0,4269198302324.0,1718720568358.0,4344327774901.0,10332246645583.0,CJ ENM,-41.12,1
13,CJ 바이오사이언스,50931897914.0,40457260971.0,34978585750.0,6755161573.0,49655411562.0,NaN,CJ 바이오사이언스,-40.04,1
14,CJ대한통운,2956459492592.0,6736840325672.0,3108759801795.0,2550231677807.0,4034308338662.0,9693299818264.0,CJ대한통운,-28.93,1
15,CJ제일제당,9759274570000.0,20225197721000.0,9749512896000.0,8734706308000.0,11529022641000.0,NaN,CJ제일제당,0.39,2
16,CJ프레시웨이,673967665437.0,810759227659.0,795630613919.0,285040580842.0,404055698335.0,1484726893096.0,CJ프레시웨이,12.8,3
17,CNH,,,,,111358568147.0,NaN,CNH,0.78,2
18,CS,29005084679.0,5112235435.0,15782915318.0,169692212.0,18164712584.0,34117320114.0,CS,-61.07,1
19,CSA 코스믹,27371297481.0,7252738825.0,30732588148.0,977613957.0,2913834201.0,NaN,CSA 코스믹,-33.75,1
20,CS홀딩스,213280099039.0,150841471746.0,22982072997.0,10711348216.0,330428149572.0,NaN,CS홀딩스,-1.56,2
21,DB,114707456228.0,299609928544.0,110484852478.0,18849038688.0,284983493606.0,NaN,DB,-11.76,1
22,DB하이텍,1327724119744.0,794976355064.0,404353962296.0,80062434119.0,1638284078393.0,NaN,DB하이텍,-37.0,1
23,DH오토웨어,87987858100.0,56961674624.0,55242229281.0,27633433621.0,62073869822.0,NaN,,,2
24,DL,3002744413405.0,9016249476303.0,2323118787433.0,5078110129942.0,4617764972333.0,12018993889708.0,DL,12.5,3
25,DL이앤씨,5403768957903.0,3570948486382.0,3210693538872.0,1071547395985.0,4692476509428.0,8974717444285.0,DL이앤씨,-30.69,1
26,DMS,276666474078.0,149667507981.0,95424576474.0,680272106.0,330229133479.0,NaN,DMS,-19.53,1
27,DN오토모티브,1775650459528.0,2815940292218.0,1358459213708.0,2101622978263.0,1131508559775.0,NaN,DN오토모티브,19.03,3
28,DRB동일,475692073884.0,469546420844.0,400359407544.0,65110402680.0,479768684504.0,NaN,DRB동일,-13.13,1
