회사명,당기_유동자산,당기_비유동자산,당기_자본,당기_유동부채,당기_비유동부채,당기_부채 및 자본총계,당기_부채총계,당기_자산총계,유동비율,자기자본비율,등락률,class
3S,24765273665.0,41191506450.0,45888540491.0,17643355009.0,2424884615.0,65956780115.0,20068239624.0,65956780115.0,1.403660111830605,0.695736517322257,30.41144901610018,0
AJ네트웍스,203729943614.0,1186348984352.0,388730095028.0,733306490740.0,268042342198.0,1390078927966.0,1001348832938.0,1390078927966.0,0.2778237288045963,0.279646059808129,17.045454545454543,0
AK홀딩스,75483188810.0,856752085288.0,551051716326.0,381162742122.0,20815650.0,932235274098.0,381183557772.0,932235274098.0,0.1980340166244261,0.5911079870467028,58.19935691318327,1
APS,50871936315.0,224505846673.0,181802602455.0,70868114543.0,22707065990.0,275377782988.0,93575180533.0,275377782988.0,0.7178395621649126,0.6601934276699523,64.14435389988358,1
AP시스템,392267008129.0,151368050635.0,276530910753.0,212049119655.0,55055028356.0,543635058764.0,267104148011.0,543635058764.0,1.8498874636556435,0.5086701203224756,50.464396284829725,1
AP위성,110069101441.0,10725563674.0,83570047030.0,37085301744.0,139316341.0,120794665115.0,37224618085.0,120794665115.0,2.9679980009548657,0.6918355785865121,64.44444444444444,1
BGF,180631522349.0,1387145478403.0,1505965893804.0,16896096189.0,44915010759.0,1567777000752.0,61811106948.0,1567777000752.0,10.690725261531002,0.960574044064716,46.683673469387756,0
BGF리테일,900770526646.0,2098560300617.0,890596186491.0,1184883656662.0,923850984110.0,2999330827263.0,2108734640772.0,2999330827263.0,0.7602185426235091,0.2969316283471476,17.002881844380404,0
BGF에코머티리얼즈,208001907925.0,112260134344.0,183252758119.0,99871842025.0,37137442125.0,320262042269.0,137009284150.0,320262042269.0,2.082688210285866,0.5721963078130852,65.38461538461539,1
BYC,115169224262.0,543576428787.0,514203097698.0,114197961437.0,30344593914.0,658745653049.0,144542555351.0,658745653049.0,1.0085050802376698,0.7805791132252855,20.806241872561767,0
CBI,36266255539.0,44912340880.0,46840117895.0,30552572903.0,3785905621.0,81178596419.0,34338478524.0,81178596419.0,1.187011504862131,0.5770008347180167,115.87301587301589,1
CJ,135784634000.0,3119814074000.0,2824891734000.0,239721297000.0,190985677000.0,3255598708000.0,430706974000.0,3255598708000.0,0.5664270788589968,0.8677026830912479,16.33986928104575,0
CJ CGV,498842907916.0,1427682045948.0,527264895410.0,586529269517.0,812730788937.0,1926524953864.0,1399260058454.0,1926524953864.0,0.8504995979600324,0.2736870313319707,38.929440389294406,0
CJ ENM,912394160682.0,5393383560300.0,3264549242522.0,1647294538785.0,1393933939675.0,6305777720982.0,3041228478460.0,6305777720982.0,0.5538743310318732,0.5177076305210472,43.436499466382074,0
CJ 바이오사이언스,39927799016.0,39714197897.0,44035724499.0,29327822840.0,6278449574.0,79641996913.0,35606272414.0,79641996913.0,1.36143072173577,0.5529208985945457,55.00000000000001,1
CJ대한통운,1931508811630.0,6026995739633.0,3498357938632.0,2070761789180.0,2389384823451.0,7958504551263.0,4460146612631.0,7958504551263.0,0.9327527780947016,0.4395747864561838,20.454545454545457,0
CJ씨푸드,49332041149.0,81761807605.0,76490040214.0,51177747917.0,3426186623.0,131093974754.0,54603934540.0,131093974754.0,0.96393536560082,0.5834748725678264,59.72222222222222,1
CJ제일제당,2227819930000.0,9204481758000.0,5514925524000.0,2643918499000.0,3273457665000.0,11432301688000.0,5917376164000.0,11432301688000.0,0.8426205009128006,0.4823985295794619,14.99312242090784,0
CJ프레시웨이,585473330549.0,793055825264.0,221114932779.0,709856105222.0,447558117812.0,1378529155813.0,1157414223034.0,1378529155813.0,0.824777481297987,0.160399170265351,17.582417582417584,0
CMG제약,147767840844.0,85301232095.0,187065898003.0,20384309597.0,25618865339.0,233069072939.0,46003174936.0,233069072939.0,7.249097161757556,0.8026199943394455,48.283261802575105,0
CNH,,,108222049013.0,,,164342869081.0,56120820068.0,164342869081.0,,0.658513810901405,55.38922155688623,1
CS,23647710007.0,5132161395.0,17423631422.0,11155529673.0,200710307.0,28779871402.0,11356239980.0,28779871402.0,2.119819560359839,0.6054103292758,75.52631578947368,1
CSA 코스믹,16184042834.0,6009582362.0,1991228110.0,19961645836.0,240751250.0,22193625196.0,20202397086.0,22193625196.0,0.8107569369261501,0.0897207235147362,55.86206896551724,1
CS홀딩스,41797639144.0,135916844149.0,169652755875.0,1207787149.0,6853940269.0,177714483293.0,8061727418.0,177714483293.0,34.60679241255944,0.9546366324870184,36.05313092979127,0
